"Локални претпријатија основани од општината","","",""
"Р.БР.","ОПШТИНА","Неплатени обврски до 31.05.2017        (во денари)",""
"1.0","Арачиново","0.0","нема податок за ЈП"
"2.0","Берово","27074749.0",""
"3.0","Битола ","698698.0",""
"4.0","Богданци","3578656.0",""
"5.0","Боговиње","1448914.0",""
"6.0","Босилово","5127813.0",""
"7.0","Брвеница","0.0","нема податок за ЈП"
"8.0","Валандово","5264111.0",""
"9.0","Василево","6327992.0",""
"10.0","Велес","1160885.0",""
"11.0","Вевчани","1534677.0",""
"12.0","Виница","5256764.0",""
"13.0","Врапчиште","16660560.0",""
"14.0","Гевгелија","0.0","нема податок за ЈП"
"15.0","Гостивар","157910349.0",""
"16.0","Градско","9296362.0",""
"17.0","Дебар","11734636.0",""
"18.0","Дебарца","3701424.0",""
"19.0","Делчево","12449141.0",""
"20.0","Демир Хисар","270881.0",""
"21.0","Демир Капија","2983465.0",""
"22.0","Дојран","23511012.0",""
"23.0","Долнени","0.0","нема податок за ЈП"
"24.0","Желино","12507741.0",""
"25.0","Зелениково","28056076.0",""
"26.0","Зрновци","500500.0",""
"27.0","Илинден","11068768.0",""
"28.0","Јегуновце","153870.0",""
"29.0","Карбинци","17409881.0",""
"30.0","Кавадарци","9216569.0",""
"31.0","Кичево","9458199.0",""
"32.0","Кочани","71015594.0",""
"33.0","Конче","2911121.0",""
"34.0","Кратово","0.0","нема податок за ЈП"
"35.0","Крива Паланка","11927318.0",""
"36.0","Кривогаштани","11284838.0",""
"37.0","Крушево","21795383.0",""
"38.0","Куманово","474639593.0",""
"39.0","Липково","5055800.0",""
"40.0","Лозово","2118799.0",""
"41.0","Македонска Каменица","16076359.0",""
"42.0","Македонски Брод","2123478.0",""
"43.0","Маврово и Ростуше","2676308.0",""
"44.0","Могила","549918.0",""
"45.0","Неготино ","2414098.0",""
"46.0","Новаци","0.0","нема податок за ЈП"
"47.0","Ново Село","0.0","нема податок за ЈП"
"48.0","Охрид","452516926.0",""
"49.0","Пехчево","24021254.0",""
"50.0","Петровец","0.0",""
"51.0","Пласница","3965445.0",""
"52.0","Прилеп","23288956.0",""
"53.0","Пробиштип","55239794.0",""
"54.0","Радовиш","29518157.0",""
"55.0","Ранковце","1629669.0",""
"56.0","Ресен","4120878.0",""
"57.0","Росоман","11399762.0",""
"58.0","Сопиште","1531122.0",""
"59.0","Старо Нагоричане","8624703.0",""
"60.0","Струга","13265885.0",""
"61.0","Струмица","155120681.0",""
"62.0","Студеничани","70000.0",""
"63.0","Свети Николе","36256879.0",""
"64.0","Теарце","0.0",""
"65.0","Тетово","140778066.0",""
"66.0","Центар Жупа","0.0","нема податок за ЈП"
"67.0","Чашка","2790566.0",""
"68.0","Чешиново-Облешево","735231.0",""
"69.0","Чучер - Сандево","4389988.0",""
"70.0","Штип","120003478.0",""
"71.0","Аеродром","0.0","нема ЈП"
"72.0","Бутел","0.0","нема податок за ЈП"
"73.0","Гази Баба","29576.0",""
"74.0","Ѓорче Петров","0.0","нема податок за ЈП"
"75.0","Карпош","0.0","нема податок за ЈП"
"76.0","Кисела Вода","0.0","нема податок за ЈП"
"77.0","Сарај","7276500.0",""
"78.0","Центар ","9369135.0",""
"79.0","Чаир","0.0","нема податок за ЈП"
"80.0","Шуто Оризари","0.0","нема податок за ЈП"
"81.0","Град Скопје","341540605.0",""
"","ВКУПНО","2456434556.0",""
